cell_ID	tissue	background	total_counts	mitochondrial_fraction	cell_type	cluster	tsne_x	tsne_y
120786804989158	spleen	human	9468	0.024397972116603297	CLEC10A+ cDC2	1	-3.5268258488373103	5.110961233987664
120797898067374	spleen	human	9965	0.024184646261916708	CLEC10A+ cDC2	0	-0.15717020334301185	14.270026236989914
120797898324908	spleen	human	14625	0.017982905982905983	cDC1	5	-0.05573769089690409	-20.662758010679955
120797898369451	spleen	human	9210	0.0248642779587405	CLEC10A- cDC2	4	4.733595403199075	3.0495222802586146
120797898422067	spleen	human	12217	0.018908078906441843	cDC1	2	-2.4894223573597327	-24.463518651245096
120797898653100	spleen	human	10113	0.022940769306832788	CCR7+ cDC2	8	-12.251236653878916	10.659217222309438
120797912815395	spleen	human	10056	0.024463007159904536	CCR7+ cDC2	8	2.121907379149268	17.398150146462523
120797913102702	spleen	human	7757	0.03867474539125951	CLEC10A- cDC2	3	19.545533089580246	5.425029850209739
120797925435806	spleen	human	10069	0.024828682093554474	CLEC10A+ cDC2	1	-5.45276389604991	3.91156738172369
120797925920099	spleen	human	11108	0.048163485776017284	CLEC10A+ cDC2	0	-11.211389188306894	13.7400993502874
120797926144413	spleen	human	8712	0.021464646464646464	Mitotic cDC2	10	-0.21109627652959556	-6.494423346197278
120797944237469	spleen	human	13876	0.02334966849236091	Mitotic cDC1	9	1.6730545472167189	-16.721465235254495
120797944245173	spleen	human	7373	0.025769700257697002	CLEC10A+ cDC2	0	-5.800284014414384	11.048428807428106
120797944278244	spleen	human	13353	0.018198157717366884	cDC1	5	-1.0875115877102346	-16.38643675120856
120797944821542	spleen	human	10562	0.032001514864608976	CLEC10A- cDC2	4	9.978214150660786	5.779219021385096
120797945063134	spleen	human	9822	0.02341681938505396	cDC1	2	0.0207897619227515	-24.79034919971412
120864470322086	spleen	human	13507	0.027171096468497816	CLEC10A+ cDC2	7	-10.641928494238691	17.012305699132106
120864470387509	spleen	human	12436	0.02637504020585397	CLEC10A- cDC2	4	-7.47066868179278	8.692438158352713
